0.1	5.4189E+02
0.11	5.5483E+02
0.12	5.6668E+02
0.13	5.7755E+02
0.14	5.8770E+02
0.15	5.9727E+02
0.16	6.0643E+02
0.17	6.1536E+02
0.18	6.2422E+02
0.2	6.4180E+02
0.225	6.6417E+02
0.25	6.8716E+02
0.275	7.1070E+02
0.3	7.3459E+02
0.325	7.5848E+02
0.35	7.8225E+02
0.375	8.0586E+02
0.4	8.2908E+02
0.45	8.7420E+02
0.5	9.1740E+02
0.55	9.5863E+02
0.6	9.9783E+02
0.65	1.0346E+03
0.7	1.0698E+03
0.8	1.1355E+03
0.9	1.1935E+03
1	1.2466E+03
1.1	1.2939E+03
1.2	1.3363E+03
1.3	1.3738E+03
1.4	1.4084E+03
1.5	1.4390E+03
1.6	1.4666E+03
1.7	1.4913E+03
1.8	1.5140E+03
2	1.5515E+03
2.25	1.5890E+03
2.5	1.6156E+03
2.75	1.6362E+03
3	1.6499E+03
3.25	1.6587E+03
3.5	1.6635E+03
3.75	1.6663E+03
4	1.6651E+03
4.5	1.6578E+03
5	1.6446E+03
5.5	1.6284E+03
6	1.6092E+03
6.5	1.5880E+03
7	1.5669E+03
8	1.5217E+03
9	1.4775E+03
10	1.4344E+03
11	1.3923E+03
12	1.3532E+03
13	1.3151E+03
14	1.2791E+03
15	1.2450E+03
16	1.2119E+03
17	1.1809E+03
18	1.1518E+03
20	1.0968E+03
22.5	1.0347E+03
25	9.8324E+02
27.5	9.3638E+02
30	8.8934E+02
32.5	8.4950E+02
35	8.1297E+02
37.5	7.7934E+02
40	7.4832E+02
45	6.9278E+02
50	6.4454E+02
